Category,Part Name,Quantity,Description,Link
+Main Board,Raspberry Pi 5 (8GB),1,Quad-core single-board computer,https://www.amazon.com/Raspberry-Pi-8GB-SC1112-Quad-core/dp/B0CK2FCG1K?dib=eyJ2IjoiMSJ9.KmdhrY0pHCHs8fYFQTqApg6yc_rQ-5gVQxb8m2c6y231durrp3cmrp6IkoPutTo48ahwW2Bf34_R7waUkWOYy780pJ8xE0ByKOgeBC2MD9bOjIrZXvBWLPaj3OQre_mUHrsa6Y7PBu4NEzdfOwGlYVphifAvrHtqwTDIlwGdJ7-YVing2d-LyjRxiLDPB60oTyo6mmv-m74KTwOwl7bBpC6xuTeeLY1x_bWdcWIy56Q.Ltni5FeUxM2BX2GktavaJ0DsPt7bvMiCU-PCNwdXn1E&dib_tag=se&keywords=raspberry+pi+5&qid=1751915139&sr=8-1
Heart Rate & SpO2,MAX30105 Sensor Module,1,Heart rate and SpO2 sensor with particle photodetectors,https://www.amazon.com/Accuracy-MAX30105-Particle-Photodetectors-Detection/dp/B0F6MLWF8K
ECG,ECG Sensor Module,1,Electrocardiogram sensor for heart monitoring,https://www.amazon.com/gp/product/B0FB54XWFG
Temperature,MLX90614 Temperature Sensor,1,Non-contact infrared temperature sensor module,https://www.amazon.com/SHILLEHTEK-Pre-Soldered-Non-Touch-Temperature-Microcontrollers/dp/B0CNM72R4L
Display,Raspberry Pi 7 inch Touchscreen,1,7-inch LCD touchscreen display for Raspberry Pi,https://www.canakit.com/raspberry-pi-lcd-display-touchscreen.html
Audio Input,ReSpeaker Mic Array v2.0,1,Microphone array with 4 microphones for voice input,https://www.seeedstudio.com/ReSpeaker-Mic-Array-v2-0.html
Audio Output,HiFiBerry MiniAmp,1,Audio amplifier expansion board for Raspberry Pi,https://www.amazon.com/Inno-Maker-Raspberry-Amplifier-Expansion-Capacitor/dp/B07CZZ95B9
Audio Output,Sound Town 4-inch Speakers,1,Full-range driver speaker pair,https://www.amazon.com/Sound-Town-Replacement-Speakers-STLF-EZ4-PAIR/dp/B09GXBF9QB
Blood Pressure,Omron Blood Pressure Monitor,1,Clinically validated blood pressure monitor,https://www.amazon.com/Pressure-Clinically-Validated-Unlimited-Measurements/dp/B0DD46HGC9
Actuator,12V Linear Actuator,1,50mm stroke linear actuator with built-in limit switches,https://www.amazon.com/Actuator-Internal-Automotive-Industrial-50mm-8mm/dp/B09FT562LB
Motor Control,L298N Motor Driver Module,1,H-bridge motor driver for controlling the linear actuator,https://www.amazon.com/BOJACK-H-Bridge-Controller-Intelligent-Mega2560/dp/B0C5JCF5RS
Camera,Logitech C920 Webcam,1,HD webcam with microphone for video capture,https://www.amazon.com/Logitech-Mic-Disabled-Certified-Microsoft-Compliant/dp/B08CS18WVP
Servo,MG996R Servo,1,High torque digital servo for pan-tilt mechanism,https://www.amazon.com/4-Pack-MG996R-Torque-Digital-Helicopter/dp/B07MFK266B
Servo,SG90 Micro Servo,1,Micro servo for pan-tilt mechanism,https://www.amazon.com/Micro-Helicopter-Airplane-Remote-Control/dp/B072V529YD
Mounting,Aluminum Pan-Tilt Bracket Kit,1,Metal bracket kit for pan-tilt camera mounting,https://www.digikey.com/en/products/detail/dfrobot/FIT0004/7597177
Mounting,Camera Mounting Plate,1,Anti-twist camera mounting plate,https://www.amazon.com/CAMVATE-Camera-Mount-Plate-Anti-Twist/dp/B0DB8BBFX7
Servo Control,PCA9685 Servo Driver Board,1,16-channel PWM servo driver board,https://www.amazon.com/SunFounder-PCA9685-Channel-Arduino-Raspberry/dp/B014KTSMLA
Acoustic Sensor,35mm Piezo Contact Mic,1,Piezoelectric contact microphone for acoustic sensing,https://www.amazon.com/DZS-Elec-Transducer-Microphone-Instrument/dp/B07TF5Q74Z
Audio Amplifier,LM386 Breakout Board,1,Audio amplifier module for piezo microphone,https://www.amazon.com/HiLetgo-LM386-Audio-Amplifier-Module/dp/B00LNACGTY
ADC,MCP3008 ADC Module,1,8-channel 10-bit analog-to-digital converter,https://www.amazon.com/raspberryads1115-Breakout-soldered-Development-Converter/dp/B0C4QBYWYH 

Subtotal: 483.05